Taxon Name,Influent_WWTP_1_24_24_MH1_S480,Influent_WWTP_2_1_24_MH1_S340,Influent_WWTP_1_24_24_MH2_S478,Influent_WWTP_1_24_24_MH3_S479,Influent_WWTP_1_24_24_MH4_S476,Influent_WWTP_2_1_24_MH2_S339,Influent_WWTP_2_1_24_MH3_S346,Influent_WWTP_2_1_24_MH4_S341,Influent_WWTP_2_10_24_MH2_S348,Influent_WWTP_2_10_24_MH3_S338,Influent_WWTP_2_10_24_MH4_S337,Influent_WWTP_2_14_24_MH2_S349,Influent_WWTP_2_14_24_MH3_S343,Influent_WWTP_2_14_24_MH4_S342,Influent_WWTP_7_31_23_MH2_S477,Influent_WWTP_7_31_23_MH3_S355,Influent_WWTP_7_31_23_MH4_S347,Influent_WWTP_7_24_23_MH2_S473,Influent_WWTP_7_24_23_MH3_S359,Influent_WWTP_7_24_23_MH4_S358,Influent_WWTP_7_17_23_MH2_S474,Influent_WWTP_7_17_23_MH3_S351,Influent_WWTP_7_17_23_MH4_S350,Influent_WWTP_7_10_23_MH2_S353,Influent_WWTP_7_10_23_MH3_S354
Bacteroidota bacterium,931,120,131,63,380,138,285,374,71,97,97,90,105,101,166,90,157,174,114,207,151,212,257,144,310
Candidatus Saccharibacteria bacterium,15148,64,224,1305,67,61,49,59,141,41,27,137,50,58,361,70,43,315,110,90,708,161,165,217,49
Mycolicibacterium sp.,1,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter baumannii,94919,6463,97244,85092,15569,6437,12115,11818,17404,26705,28029,16974,19011,22491,97,59,46,99,55,31,242,71,69,67,39
Burkholderiaceae bacterium,3902,349,2838,1893,629,371,667,687,677,428,523,559,456,596,423,660,699,3755,569,548,461,873,1402,641,362
all taxa with neither family nor genus classification,2667,23,179,167,19,17,56,32,58,49,23,27,21,32,207,499,610,605,597,429,252,475,818,691,324
Acinetobacter wuhouensis,95439,1844,30944,48073,3578,1307,2395,3783,10249,16878,13592,8839,8584,7925,12,12,5,13,5,8,10,13,12,17,9
Chitinophagaceae bacterium,272,24,45,24,39,17,34,36,14,4,10,12,14,9,2,8,26,12,5,8,14,25,23,22,12
uncultured bacterium,79206,10138,29848,48865,7402,8965,7720,7510,14498,8943,5802,19712,13894,11211,15776,4465,5248,8088,4761,5035,13562,5741,5732,6777,4656
Thauera chlorobenzoica,88703,877,5193,2067,951,912,924,981,1525,1326,1280,839,1071,1403,398,815,1113,914,684,502,1570,1088,1777,745,817
Burkholderia multivorans,645,105,526,383,141,175,184,182,229,112,138,193,138,175,137,107,187,342,153,97,226,157,261,161,76
Dioscorea cayenensis,84558,376,9131,18215,885,500,1515,2233,3339,4471,3516,2285,2447,1612,48,10,9,,8,6,272,5,2,11,1
uncultured Caudovirales phage,5002,67,146,171,58,53,50,75,98,58,75,78,41,24,219,109,63,961,1162,264,1174,1024,1118,246,354
Cloacibacterium normanense,77984,20971,19537,11854,70094,14509,45981,54509,1446,1755,3241,6112,14028,11994,164,87,113,397,205,275,221,323,169,220,103
uncultured prokaryote,72930,1338,44184,67731,2079,1682,1845,1875,19202,12811,4719,18509,11534,10321,8215,1449,1656,3097,1238,2704,2429,692,756,4226,2032
Burkholderiales bacterium,473,80,624,340,136,97,137,148,178,150,146,87,110,176,123,135,211,151,151,113,109,175,259,121,82
Acinetobacter johnsonii,63075,40834,412904,458344,90325,42594,82969,93351,91485,217134,257442,63672,143256,111252,138,180,87,133,108,92,245,132,165,195,271
Candidatus Competibacteraceae bacterium,7578,46,382,191,75,35,83,85,80,52,72,27,37,56,62,73,125,96,71,62,645,1534,2096,106,103
Mycobacterium sp.,111,,,,,,,,,,,,,,9,,1,,,,,,2,,
Gordonia amarae,58490,57,2470,7671,346,74,403,342,251,221,233,161,177,188,659,889,952,839,767,741,2168,5417,6821,479,139
Alphaproteobacteria bacterium,403,19,22,21,16,21,24,13,21,8,9,12,9,19,117,32,58,21,40,23,60,60,54,46,23
Acinetobacter cumulans,12475,219,3071,4094,488,229,389,446,1233,2426,1793,537,650,549,1,2,8,3,,,3,6,2,7,6
bacterium,212,198,629,433,152,232,160,118,284,170,118,239,318,289,620,326,252,429,244,152,398,205,325,208,192
Acinetobacter lwoffii,49161,1765,30196,37999,4579,2122,3184,3726,11829,28508,13834,4510,9210,6356,76,93,62,77,21,33,294,152,45,66,28
Pseudomonadota bacterium,130,8,73,57,32,22,25,31,31,35,10,10,18,25,94,95,113,218,114,74,84,119,141,67,53
Gemmobacter aquarius,48301,92,2044,2204,196,83,160,145,748,448,352,555,376,456,141,307,316,342,257,191,367,603,943,236,109
Candidatus Sulfuricurvum sp. RIFRC-1,423,7,67,708,13,15,23,18,25,8,4,62,13,14,11652,1334,2511,1008,1482,1383,8350,4522,1922,25505,2235
Moraxella osloensis,47720,151878,154625,176170,33241,161828,43118,33096,20743,40523,39312,184065,254709,202632,1203,60,965,146,74,70,168,201,101,86,23
Methylibium sp. Pch-M,284,87,568,382,139,72,179,140,190,187,243,122,145,165,95,213,288,473,96,70,341,419,187,155,50
Gammaproteobacteria bacterium,564,122,276,214,149,139,115,122,42,67,62,76,76,91,81,147,161,497,142,86,243,135,257,323,423
Variovorax paradoxus,44522,2502,8080,6844,1982,2220,2264,2180,2815,1977,2214,1972,1817,2253,5377,9713,4297,3826,7469,3039,5276,3502,4186,3601,4271
uncultured Acinetobacter sp.,247,3,3,7,2,,,1,,3,5,,,,,,,,,,,,,,
Moraxellaceae bacterium,91,54,37,33,15,62,31,24,20,11,4,36,79,19,14,2,6,12,3,,6,4,1,3,6
Pseudomonas aeruginosa,18090,2716,20407,19504,3126,2936,3378,3367,7039,6180,4476,4369,7283,4581,8272,3593,3162,3516,4806,1364,3762,3468,3502,4875,4629
Acidobacteriota bacterium,105,19,23,35,14,6,19,13,10,11,11,9,2,12,112,45,68,74,60,46,58,61,82,24,49
Acinetobacter pittii,32911,567,12798,10778,1110,658,1147,1163,4227,5124,4652,4174,3923,2664,34,13,16,17,21,13,114,31,13,34,10
Actinomycetota bacterium,153,1,14,26,2,2,,,7,2,6,,1,3,9,20,30,3,17,11,5,13,25,16,10
Betaproteobacteria bacterium,138,13,27,19,24,10,17,19,13,7,14,9,10,23,13,21,30,23,19,10,25,48,38,26,19
Sphaerotilus sp. FB-5,36177,304,1983,1061,363,306,488,434,700,657,729,314,445,507,166,320,370,206,259,182,363,687,763,213,205
Paracoccaceae bacterium,2176,33,435,469,51,28,60,64,114,118,100,77,85,111,91,193,181,159,104,108,145,288,427,146,66
Acinetobacter sp. NEB 394,33286,20651,422335,504776,85495,21499,62805,87602,66575,350082,235099,42660,142678,113290,7,5,4,8,10,6,1,17,8,10,9
Stenotrophomonas maltophilia,33191,3058,3937,3008,4611,2429,1124,2165,1303,4077,726,916,8102,6065,1790,2227,842,1781,1475,475,440,2703,4061,628,334
Escherichia coli,27528,12847,9513,32486,6196,10048,5507,7278,7604,3440,2513,14626,6733,8883,454,234,403,944,282,338,1748,474,531,438,629
Sphinx1.76-related DNA,17489,148,6566,10571,251,179,216,419,3334,306,1122,1051,647,204,,2,,,,,,,,,
Acinetobacter sp. WCHAc010034,29603,2169,11733,23114,2427,2037,2635,2424,5476,8138,6171,3851,4130,5080,18,4,11,6,7,8,5,5,9,28,2
Acinetobacter junii,7504,1783,10800,13886,2969,1695,3189,3048,3052,4112,4904,2301,3790,3135,39,27,21,29,31,13,44,38,30,36,47
Capnocytophaga sp. FDAARGOS_737,28429,3,7,,8,4,3,5,,1,1,1,,3,4,2,11,6,,6,2,1,9,24,2
TSE-associated circular DNA,28251,5,13,174,6,13,3,3,11,20,5,192,83,628,,,,,,,,,,,
Tabrizicola piscis,27957,87,2156,1882,143,108,141,156,509,367,337,363,362,478,315,759,802,868,550,525,594,1346,2281,688,335
Dechloromonas sp.,27548,2279,18884,7366,3044,2455,3389,3355,3053,3518,3964,1811,2962,3524,13935,9710,12103,68999,186102,295202,18418,12555,11065,30439,57797
Gordonia pseudamarae,27180,29,1066,3118,158,22,214,188,90,125,97,73,58,102,257,453,466,237,387,277,815,2221,2968,168,81
Flavobacteriaceae bacterium,26,37,105,35,83,31,52,67,12,15,84,34,41,34,40,18,26,72,37,109,47,104,51,62,110
Rhodanobacter thiooxydans,240,31,325,169,90,34,84,54,78,73,54,23,34,46,41,68,99,62,39,47,61,80,129,96,37
Acinetobacter haemolyticus,26236,2154,30608,27367,4889,1767,3512,3926,8302,13197,14042,6513,11394,5018,74,21,477,100,28,45,245,25,23,57,631
Brucella intermedia,150,11,72,48,12,7,14,10,12,16,21,7,16,31,69,43,41,40,44,16,11,37,56,72,26
Sphingobacteriales bacterium,13991,67,295,124,212,89,208,163,45,23,23,34,31,23,70,53,40,27,35,104,104,155,130,114,100
SPHINX/BMMF group 1 DNA sequence,23622,71,3369,2690,110,67,111,102,1402,1085,678,1223,897,286,,,,,,,,,,,2
Paracoccus sp. TOH,13503,394,2495,2292,153,386,170,138,555,441,440,490,511,572,74,307,276,227,304,301,195,347,397,191,249
Rhodocyclaceae bacterium,390,72,325,192,114,50,110,101,116,77,103,67,122,159,112,63,173,64,53,73,38,91,141,115,137
Caudoviricetes sp.,14968,11602,9085,15450,9689,10644,10414,9272,7130,6994,4484,9926,12479,11540,8713,3060,4585,3405,2351,1651,5149,2200,2162,3645,2194
Paracoccus yeei,8036,529,5871,4254,304,593,246,262,1072,820,800,1096,988,1169,250,628,614,546,570,548,512,627,973,584,413
Flavobacterium sp.,478,452,2296,1682,3717,636,2311,2488,2424,3555,4006,2830,4640,3784,30,8,20,28,16,28,35,27,13,50,79
Runella rosea,20979,70,226,53,188,80,148,212,27,56,29,38,46,29,10,12,9,17,7,7,11,26,23,14,8
Candidatus Dojkabacteria bacterium,2,,9,,1,1,,,,,,,,,,1,1,1,1,,,1,,,
Acinetobacter ursingii,7056,391,3869,7110,1020,382,658,797,801,2116,5397,1129,961,790,17,16,36,11,25,4,22,15,16,20,2
Acinetobacter bereziniae,2818,1605,7715,10764,527,336,499,560,1461,1192,2098,876,1500,653,9,4,5,6,1,6,27,7,1,14,8
Stagnimonas aquatica,22,,,,,,,,,,,,,,,,,,,,,,,,
Acidovorax sp. RAC01,18707,2484,39433,15110,5263,2416,6314,6864,7753,2562,4018,8749,4291,4288,1712,1875,3034,1850,1194,1690,1495,1359,1915,1620,778
Acidovorax carolinensis,18581,6105,50309,31744,11910,5141,12762,12638,13579,7721,10305,8429,9587,10941,26141,11659,13938,5313,3062,2472,7365,4098,6319,16587,3063
Flavobacteriales bacterium,77,129,250,62,135,43,132,143,79,60,71,78,65,81,43,86,141,73,94,57,68,107,174,235,158
Alicycliphilus denitrificans,18258,6812,39664,18431,5443,5103,5467,5642,10070,5073,5506,5419,4666,5742,2187,4945,6317,5976,4514,3759,2503,4664,9245,3762,3099
Acinetobacter sp. YH12138,17087,246,5679,8269,1338,333,438,582,2989,2676,3094,1382,1771,1171,3,4,3,,,2,13,1,2,6,
Klebsiella pneumoniae,8804,5950,10894,15468,5567,4964,4640,6087,8450,2954,3362,13988,4859,12214,801,451,279,627,250,323,428,345,377,503,474
Acinetobacter schindleri,16458,1982,17363,26796,1557,633,2044,1689,4752,10088,7829,3989,5383,4919,28,6,17,33,6,7,44,14,11,33,8
Runella slithyformis,5644,21,70,14,34,24,15,44,7,5,14,19,14,7,8,11,26,17,13,1,13,21,19,36,15
Acinetobacter sp.,960,164,4110,3931,101,130,113,589,319,402,704,224,143,64,,,,,,,,,,4,
Acinetobacter baylyi,15775,55,263,486,73,38,88,70,95,219,212,75,118,92,3,,2,6,,2,2,3,3,3,5
Mycolicibacterium litorale,15718,5,63,149,6,,18,6,25,23,18,13,9,8,76,140,188,144,164,98,152,173,201,157,87
Planctomycetota bacterium,64,7,27,13,5,3,12,11,6,4,8,6,5,3,47,44,64,34,82,31,42,57,46,40,41
uncultured archaeon,145,4,12,1,,11,4,5,3,2,4,7,1,,3,6,12,4,11,3,7,18,11,3,8
Acinetobacter sp. ACNIH1,15364,81,3801,3872,165,134,955,987,526,1203,770,217,314,230,,1,,,,,,,,2,1
Acidovorax temperans,15308,15555,54263,51376,20937,18110,21416,19058,17770,15040,18946,18412,19274,19133,4851,6950,8766,8550,5978,5759,3844,8379,10267,6724,3373
Klebsiella oxytoca,596,997,2071,1446,1315,996,680,1019,965,655,347,1948,940,635,165,50,52,74,75,33,109,41,35,41,30
Geothrix sp.,14118,62,317,140,110,59,154,116,116,279,208,103,302,337,475,714,1042,859,1170,732,338,651,1108,644,498
Acinetobacter sp. WCHA45,14046,2469,15196,16691,4298,2454,3780,4199,2587,4720,5275,2326,4205,3829,7,5,,,9,12,15,1,7,4,4
Acidovorax sp. KKS102,13788,9776,66362,43673,20771,8602,21881,22539,16717,8633,12232,14127,12947,14840,3900,5252,5889,7062,3452,3957,3218,5279,9871,4523,2253
Acinetobacter sp. ACNIH2,13344,308,7695,26502,1155,1205,1521,3355,2162,11938,9352,890,2950,1158,18,3,2,3,1,8,7,1,1,1,5
Aeromonas caviae,13167,92249,58029,62905,40531,75188,38010,40795,56267,23448,25265,96374,53745,49112,1537,657,616,1277,809,405,912,1047,1224,612,533
Flavobacterium commune,4,674,705,447,2327,380,2136,2009,546,1627,2923,717,1729,1910,26,9,8,9,13,19,23,16,17,8,40
Polaromonas sp.,740,10,29,183,6,6,14,6,20,2,12,43,14,15,,3,1,4,1,1,9,6,22,19,1
Gemmobacter fulvus,13075,207,2552,2685,388,177,311,375,685,551,557,489,469,670,176,387,370,462,264,237,322,660,881,294,180
Prokaryotic dsDNA virus sp.,167,13,16,36,6,16,6,12,2,5,,13,12,7,40,36,14,5,947,18,48,19,20,38,56
Mycobacterium sp. DL592,12930,,51,99,2,,7,9,14,6,6,14,11,1,44,36,49,145,91,66,82,65,109,62,28
Lactococcus raffinolactis,12834,22730,69570,57001,13934,22637,13356,12727,6689,8132,3766,31438,29482,24441,447,190,143,851,415,592,824,405,453,1068,306
Myxococcales bacterium,236,,18,2,4,7,6,20,30,23,15,9,23,10,4,14,10,11,13,20,6,16,22,26,18
Mycolicibacterium anyangense,12722,4,31,110,12,1,8,7,20,9,9,6,10,8,35,94,88,108,106,102,147,77,108,114,42
Aeromonas veronii,12372,52703,39723,20284,23862,46361,23653,27093,50790,26214,23330,58763,42520,43991,436,313,447,400,440,461,256,342,362,347,231
Acinetobacter indicus,12360,1640,25640,32270,4702,1774,2816,3572,7630,10381,13069,4119,7543,5768,23,14,16,43,28,23,22,19,10,42,18
Nannocystis sp.,74,,,,,,,,,,,,,,,,,,,,,1,,,
Acinetobacter seifertii,11607,413,23305,12867,1242,602,908,1436,3293,5799,6362,2707,4536,2870,21,190,263,14,14,8,14,178,10,48,11
Salmonella enterica,2083,960,2406,1899,632,651,565,855,841,506,367,1408,519,631,205,139,116,124,143,109,276,409,126,156,130
Methylovulum psychrotolerans,11538,33,10495,776,57,17,190,71,165,119,92,221,170,181,25,17,28,48,12,9,63,33,36,44,16
uncultured Flavobacterium sp.,255,158,194,318,477,132,459,378,149,255,431,182,270,289,10,98,18,14,13,15,16,7,14,16,31
Ferribacterium limneticum,11423,2235,14537,6929,2799,2486,3225,2933,3206,4065,4291,2132,3756,3951,8918,5775,7609,8749,5245,5652,7666,9991,7845,8790,8955
Cutibacterium acnes,11123,6,121,140,16,4,10,7,15,5,3,18,4,3,23,7,5,16,25,2,45,3,10,8,12
Sphingomonadaceae bacterium,714,3,68,148,9,5,8,10,25,18,18,10,25,19,15,33,40,46,31,18,44,92,172,30,18
Acinetobacter piscicola,11139,413,4986,8464,940,597,769,860,1756,2336,2842,1349,1299,979,21,8,10,4,1,1,20,11,10,10,11
Acinetobacter chinensis,11085,174,9117,5513,399,244,404,516,763,1822,1025,811,3163,687,2,4,5,6,3,4,,10,3,4,
Flavobacterium psychrophilum,1070,686,4792,4779,2576,626,2149,2560,3126,2070,3188,3834,3416,2051,149,58,46,49,44,65,63,79,82,159,99
Mycobacteroides abscessus,2057,10,82,45,12,11,15,18,6,13,8,8,6,6,206,371,362,451,390,334,108,244,312,472,218
Comamonas testosteroni,10555,3473,11838,15978,4003,3547,5115,3569,2700,1286,2511,5018,1995,2333,825,798,975,1472,1042,436,3010,734,1205,979,1835
Acinetobacter variabilis,10512,338,8597,17302,573,467,509,603,1588,2346,2623,1040,1675,1011,7,8,7,12,10,8,32,12,6,6,11
Thalassovita sp.,78,8,56,62,12,11,9,10,14,8,16,14,16,13,11,9,19,22,7,14,12,25,46,12,2
Rhodobacter xanthinilyticus,9967,89,1515,2289,87,114,86,97,296,201,136,294,199,197,113,247,160,252,157,167,170,289,534,165,100
Acinetobacter radioresistens,9676,287,5793,9424,1034,215,421,555,2040,5914,2164,1784,2798,1421,8,4,5,4,3,1,11,13,5,7,3
Streptococcus pneumoniae,492,104,210,150,130,73,105,140,47,27,21,148,136,99,38,26,10,33,29,58,89,43,41,76,31
Necator americanus,9272,42,703,1447,33,39,56,21,484,159,44,347,423,417,153,94,48,29,26,55,68,13,4,19,10
Acidovorax sp. T1,9096,4147,30716,24042,7738,3860,9215,7972,7923,4670,7049,5712,7504,8606,9322,5557,6677,3194,1682,1545,3463,2707,4554,6812,2245
Rhodoferax ferrireducens,2224,160,706,462,340,122,416,484,328,243,327,230,232,256,325,658,906,650,883,251,548,655,579,560,649
Paracoccus sanguinis,975,37,669,524,19,34,11,36,127,101,98,114,66,77,55,157,117,100,109,94,86,107,220,127,75
Darwinula stevensoni,8686,668,956,531,3956,614,2411,2814,322,345,551,534,470,451,317,202,338,74,109,122,180,197,245,130,178
Anaerolineales bacterium,166,5,21,35,1,3,6,8,16,6,8,7,8,9,17,19,23,25,38,34,36,47,103,31,18
Sphingopyxis macrogoltabida,8587,150,974,845,250,75,200,171,231,199,237,436,134,136,168,236,239,302,178,224,256,319,488,217,114
Comamonas aquatica,8483,1763,8897,12981,1844,1581,2216,1815,2776,1724,1296,2839,2137,2402,678,741,876,903,519,418,786,676,1091,656,458
Fibrobacterota bacterium,7716,43,59,67,39,40,37,41,70,76,48,40,31,28,111,59,103,72,37,30,21,40,35,77,39
Auxenochlorella protothecoides,8175,,,16,1,4,2,1,2,,1,3,,3,25,70,11,10,2,9,2,4,4,2,8
Acinetobacter sp. TR11,8037,557,3434,5095,741,576,821,745,836,1512,1553,1212,974,883,20,7,7,7,29,6,19,11,7,28,7
Acinetobacter towneri,5217,1115,12028,13302,3013,1332,2630,3131,2331,3777,4572,2569,3577,2419,21,45,29,36,37,17,82,12,25,35,16
Uruburuella suis,7827,2538,47102,55937,10053,2554,8837,9575,4851,3284,3000,4261,5195,4825,160,146,163,250,469,195,181,74,221,251,133
Candidatus Nomurabacteria bacterium,2654,12,27,200,17,3,10,14,14,3,,34,13,10,1094,32,19,111,31,44,215,143,23,114,31
Acinetobacter sp. WCHA55,7666,379,2724,11665,589,412,567,645,733,4338,3092,575,1631,547,6,7,11,8,8,6,7,2,1,3,11
Fuscovulum blasticum,7502,121,1542,1376,169,91,130,158,347,307,411,238,255,363,255,601,454,642,358,373,562,1072,1873,418,167
Bifidobacterium longum,7491,451,2102,2954,790,514,749,926,1107,577,394,1458,1248,1244,712,420,363,1913,951,1335,918,745,733,1273,1016
Solimonas sp. K1W22B-7,7483,27,151,147,57,28,72,77,69,81,55,47,41,56,53,76,64,64,44,40,50,50,152,63,546
Brevundimonas sp.,722,109,913,672,252,69,180,192,237,177,171,129,105,118,145,185,177,123,146,110,126,129,234,198,80
Candidatus Accumulibacter cognatus,7307,341,1225,895,476,333,583,608,253,281,289,235,405,414,533,432,697,1628,883,6705,533,760,1031,780,964
Moraxella sp.,116,,37,12,1,,,,1,,1,,3,2,1,,,,,,,,,,
Rhodoferax saidenbachensis,7140,1111,2147,1186,3377,924,3713,3567,1718,1071,1751,905,999,1170,498,472,551,263,343,175,441,568,661,244,158
Aeromonas hydrophila,7028,126781,77820,35540,67190,106973,62109,75468,60728,33303,31394,132745,78154,87632,344,231,306,764,487,624,227,228,365,388,204
Comamonadaceae bacterium OS-4,6982,495,909,458,1087,385,1411,1321,845,457,649,432,458,499,78,131,184,129,96,84,79,158,237,134,74
Sphingobium yanoikuyae,6969,104,1316,1246,135,87,95,148,291,224,181,189,159,193,345,172,166,174,146,82,313,355,418,569,130
Streptococcus salivarius,6869,474,1825,5907,425,371,420,423,2425,661,287,2526,1468,1359,426,240,217,962,526,697,750,625,531,1711,768
Pseudomonas sp.,543,41,1215,811,112,45,77,117,1486,622,497,404,211,225,253,167,181,16,56,67,147,74,61,72,65
Polaromonas naphthalenivorans,6614,311,1930,1974,676,355,732,630,1342,702,731,569,566,614,390,551,577,465,466,309,704,704,858,829,325
Archangium gephyra,80,10,116,23,20,10,13,16,32,14,21,23,16,22,29,43,44,75,51,37,32,33,82,33,35
Acinetobacter sp. TR3,6534,444,3762,5319,748,452,788,789,977,1584,1518,718,1021,848,6,6,2,,1,,17,3,2,13,5
Micropruina sp.,2460,26,405,250,24,26,35,51,67,52,44,51,29,54,49,125,121,189,122,150,110,255,283,126,149
Pseudomonas putida,6277,685,9028,3728,1340,776,1623,1372,5469,2874,3203,1372,1568,1941,1444,1329,1700,876,395,334,908,848,587,593,1107
Notodromas monacha,6193,834,8883,7884,1626,854,1314,1055,2829,2545,3905,1786,1329,1012,10,1,6,6,2,4,11,10,18,5,21
Mycobacterium sp. ELW1,6178,1,30,57,6,3,6,6,10,14,7,8,3,,40,140,62,66,47,31,79,53,100,66,18
Arthrobacter sp. NEB 688,6112,9,343,116,7,13,22,13,45,54,33,38,43,37,51,194,174,120,128,90,154,448,658,71,72
Mycobacterium sp. EPa45,6099,,14,58,4,2,2,9,4,5,5,5,3,2,25,35,49,35,32,31,35,41,40,33,19
Enterobacter kobei,6086,1584,2026,1272,602,676,494,644,4255,361,466,754,483,633,63,61,43,43,53,262,65,193,73,50,69
Ramlibacter tataouinensis,6059,398,3002,2493,812,484,918,848,933,653,851,567,566,692,453,902,1046,1041,687,559,630,1219,2134,779,460
Variovorax sp. RA8,6015,124,915,806,156,96,167,175,230,163,204,190,101,114,303,370,253,135,150,87,166,247,288,199,127
Aequoribacter fuscus,5995,9,143,85,13,14,7,10,49,15,22,41,8,19,21,1,8,30,21,10,18,31,41,32,9
Intrasporangium calvum,5994,9,247,73,12,10,31,18,46,31,40,4,18,13,32,64,82,51,59,57,119,440,553,42,31
Curvibacter sp. AEP1-3,5987,620,1229,1261,1867,455,2202,1984,915,552,875,432,421,489,600,246,299,196,141,77,301,152,249,201,87
Diaphorobacter sp. JS3051,5968,1436,10939,22877,1721,614,3268,1897,3464,907,2608,1326,1338,1920,3319,843,1084,619,506,295,1490,975,1133,608,742
Anaerolineae bacterium,10,,36,22,7,8,7,4,24,3,6,4,5,6,32,19,39,30,50,28,43,37,91,15,29
Novosphingobium aromaticivorans,5870,37,297,377,41,30,55,32,109,98,95,42,79,92,28,58,60,56,58,46,153,297,451,57,35
Mycolicibacterium hassiacum,5867,1,56,55,9,3,9,9,8,2,3,,4,5,32,45,54,55,47,37,39,47,83,46,22
Acinetobacter defluvii,5858,253,1945,3539,352,252,281,367,756,1049,1043,396,568,556,3,4,2,3,1,2,4,7,11,5,
Acinetobacter nosocomialis,2037,269,5047,6492,631,253,414,1572,1062,1450,1524,1043,1049,589,15,8,10,4,5,6,8,6,8,14,2
uncultured Zoogloea sp.,6,4,4,10,1,1,1,3,2,6,2,3,51,3,3,,,1,,,2,80,,,
Delftia acidovorans,5718,866,4741,2888,1137,758,1368,1317,1319,855,966,1209,957,988,751,1221,935,895,571,510,881,787,1166,3937,1034
Phycicoccus sp. HDW14,5654,15,544,180,30,17,47,20,82,82,54,44,83,87,42,171,157,129,125,85,145,496,691,67,92
Delftia lacustris,5644,244,1188,989,276,225,292,361,430,260,267,290,247,310,383,284,244,268,268,234,266,333,532,420,140
Novosphingobium sp. ES2-1,5594,40,396,305,66,46,51,44,101,125,97,47,73,74,46,60,47,115,40,53,99,291,441,51,28
Citrobacter freundii,5443,8415,23737,15764,7195,5346,4540,6088,7188,3341,2508,4231,3662,3815,542,575,369,276,155,290,222,461,276,305,173
Afipia sp.,2072,28,454,207,41,26,60,71,59,43,61,52,58,63,200,366,409,811,451,345,205,380,834,486,274
Comamonas thiooxydans,5310,2345,6043,8614,1823,2006,1916,2100,1844,861,816,2964,1720,2356,509,422,444,441,278,229,256,283,520,371,260
Candidatus Kaistella beijingensis,5283,355,1599,1221,644,328,465,565,91,126,130,155,189,152,7,2,9,35,25,29,3,29,14,10,37
Acinetobacter larvae,5280,82,1307,2656,222,78,113,166,382,1105,698,303,659,475,7,8,1,6,,2,3,2,2,,2
Thauera humireducens,5271,1811,12443,4770,1843,1940,2299,2233,2616,2832,2479,1460,2689,2978,1778,3005,3477,1783,1688,1259,1640,2436,4522,1737,1915
Thauera sp. K11,5266,1291,9510,3190,1356,1537,1647,1547,2226,2256,2097,1262,2211,2800,630,1178,1458,1891,1215,781,1040,1879,3474,1431,2285
Candidatus Accumulibacter similis,5163,435,1545,1198,697,445,876,719,393,327,341,279,468,610,487,424,853,547,396,375,374,754,1043,711,669
Variovorax sp. PMC12,5136,405,1389,941,451,343,476,256,384,372,276,206,273,294,1044,2076,603,733,1567,569,1137,535,707,547,596
Acinetobacter soli,2152,354,4276,4328,484,248,370,426,1289,1989,2315,465,711,1109,4,3,22,9,5,4,3,9,5,8,17
Parazoarcus communis,5053,879,4208,2451,962,693,795,1251,1052,1222,1081,903,1233,1042,654,1231,1367,923,531,466,627,1143,1428,931,1233
Novosphingobium ginsenosidimutans,5045,21,668,617,31,8,38,21,80,68,90,30,52,26,74,230,188,151,97,83,561,763,1433,91,63
Rhodoblastus sp.,1648,14,501,233,17,11,18,17,56,33,49,15,20,44,39,111,100,118,98,72,660,452,672,73,57
Sphingobium sp. TKS,4980,18,299,937,58,18,41,29,212,43,45,48,50,117,50,47,39,71,27,34,69,294,197,111,21
Mycobacterium tuberculosis,755,3,19,10,1,2,6,1,5,5,7,,2,3,21,22,36,20,22,24,16,26,21,14,17
Pedococcus dokdonensis,4860,6,212,122,14,11,24,15,21,48,39,21,38,38,31,85,95,97,60,57,168,379,635,67,38
Cereibacter sphaeroides,4826,113,1602,1219,135,105,101,132,311,295,259,251,243,284,445,477,460,865,612,567,499,511,992,446,170
Neotabrizicola shimadae,4772,100,1091,1053,92,71,85,88,319,210,205,220,203,233,157,284,298,285,237,192,244,524,802,218,125
Candidatus Saccharimonas sp.,129,8,4,20,12,1,7,8,3,2,4,6,5,7,34,6,4,23,20,18,41,2,6,12,5
Micavibrio aeruginosavorus,318,19,47,42,32,21,38,28,21,18,11,29,28,50,32,28,22,20,329,9,52,52,42,781,18
Exiguobacterium profundum,4603,90,1084,851,149,70,117,115,343,226,312,178,215,287,189,380,412,358,272,196,336,797,1243,265,118
Phycisphaerales bacterium,187,9,52,41,12,16,20,23,27,13,13,12,23,4,138,231,335,310,344,191,317,256,387,227,181
Comamonadaceae bacterium AAW,4515,598,4801,3808,1431,612,1356,1444,1463,847,1042,1119,998,1195,766,842,970,880,620,625,447,1248,1334,872,501
Variovorax sp. PAMC26660,4510,216,1264,580,187,209,232,208,265,188,231,218,176,266,442,1156,429,1371,1835,301,621,343,390,420,889
Thauera aminoaromatica,4490,1401,7645,3420,1334,1600,1379,1391,1924,2328,2028,1256,2061,2384,500,1695,2392,2251,1286,1368,1093,2024,3184,1240,1402
Mycobacterium avium,4469,,26,86,14,15,12,10,18,16,12,8,11,16,79,237,301,329,339,253,145,286,358,325,111
Acinetobacter guillouiae,1892,233,978,1748,243,101,212,218,355,1261,927,102,304,226,214,,78,1,,1,,,11,31,1378
Cyclobacteriaceae bacterium,31,30,15,24,73,38,76,59,13,18,11,26,34,29,60,24,43,21,14,35,27,42,30,45,28
