# Constructed from biom file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#OTU ID,Influent_WWTP_1_24_24_MH1,Influent_WWTP_1_24_24_MH2,Influent_WWTP_1_24_24_MH3,Influent_WWTP_1_24_24_MH4,Influent_WWTP_2_1_24_MH1,Influent_WWTP_2_1_24_MH2,Influent_WWTP_2_1_24_MH3,Influent_WWTP_2_1_24_MH4,Influent_WWTP_2_10_24_MH1,Influent_WWTP_2_10_24_MH2,Influent_WWTP_2_10_24_MH3,Influent_WWTP_2_10_24_MH4,Influent_WWTP_2_14_24_MH1,Influent_WWTP_2_14_24_MH2,Influent_WWTP_2_14_24_MH3,Influent_WWTP_2_14_24_MH4,Influent_WWTP_7_10_23_MH1,Influent_WWTP_7_10_23_MH2,Influent_WWTP_7_10_23_MH3,Influent_WWTP_7_10_23_MH4,Influent_WWTP_7_17_23_MH1,Influent_WWTP_7_17_23_MH2,Influent_WWTP_7_17_23_MH3,Influent_WWTP_7_17_23_MH4,Influent_WWTP_7_24_23_MH1,Influent_WWTP_7_24_23_MH2,Influent_WWTP_7_24_23_MH3,Influent_WWTP_7_24_23_MH4,Influent_WWTP_7_31_23_MH1,Influent_WWTP_7_31_23_MH2,Influent_WWTP_7_31_23_MH3,Influent_WWTP_7_31_23_MH4
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Trichlorobacter;__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582.0,478.0,539.0,283.0,2645.0,3807.0,1199.0,1049.0,604.0,795.0,336.0,449.0,1512.0,709.0,1991.0,0.0
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus;s__uncultured_bacterium,0.0,35.0,9.0,49.0,0.0,18.0,0.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,0.0,663.0,569.0,1010.0,690.0,952.0,376.0,1223.0,1761.0,2417.0,1573.0,1316.0,2285.0,464.0,277.0,1544.0,0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Cloacibacterium;__,250.0,1186.0,458.0,1627.0,407.0,682.0,3136.0,3275.0,395.0,344.0,295.0,363.0,665.0,541.0,676.0,968.0,0.0,0.0,0.0,4.0,10.0,0.0,13.0,11.0,19.0,9.0,0.0,19.0,0.0,0.0,12.0,0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;__,960.0,1096.0,548.0,1516.0,181.0,407.0,520.0,492.0,901.0,583.0,494.0,671.0,468.0,424.0,537.0,643.0,1078.0,1139.0,1054.0,611.0,835.0,383.0,845.0,1582.0,958.0,555.0,361.0,593.0,63.0,0.0,340.0,0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Enhydrobacter;__,76.0,1006.0,464.0,1032.0,948.0,1683.0,495.0,439.0,469.0,307.0,171.0,248.0,1411.0,1207.0,969.0,1161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__WCHB1-41;f__WCHB1-41;g__WCHB1-41;s__uncultured_bacterium,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1455.0,1413.0,1455.0,743.0,1612.0,3105.0,863.0,1181.0,2586.0,2313.0,1138.0,1556.0,3644.0,1780.0,805.0,0.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;__;__,126.0,308.0,138.0,488.0,85.0,96.0,296.0,141.0,2539.0,1924.0,1511.0,2171.0,498.0,415.0,452.0,532.0,78.0,72.0,36.0,29.0,87.0,25.0,74.0,46.0,138.0,91.0,40.0,71.0,0.0,11.0,21.0,0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;__,326.0,774.0,498.0,1268.0,98.0,206.0,1249.0,1190.0,1830.0,1275.0,1290.0,1806.0,734.0,624.0,850.0,844.0,12.0,0.0,54.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;__,344.0,2201.0,551.0,3265.0,41.0,114.0,244.0,272.0,3349.0,3299.0,1962.0,2999.0,800.0,644.0,693.0,785.0,204.0,156.0,216.0,133.0,855.0,359.0,523.0,131.0,139.0,151.0,305.0,186.0,728.0,423.0,1099.0,0.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Pseudarcobacter;__,100.0,460.0,153.0,564.0,578.0,1027.0,1342.0,718.0,3115.0,2280.0,1464.0,2029.0,2155.0,1861.0,1846.0,2478.0,342.0,314.0,101.0,65.0,153.0,192.0,69.0,31.0,204.0,253.0,88.0,99.0,319.0,159.0,109.0,0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Dechloromonas;__,202.0,328.0,172.0,474.0,40.0,59.0,80.0,66.0,126.0,165.0,83.0,208.0,74.0,62.0,115.0,120.0,458.0,539.0,643.0,257.0,592.0,568.0,580.0,682.0,1079.0,992.0,386.0,666.0,1342.0,884.0,1050.0,0.0
